skill,category
Figma,UI/UX & Product
Adobe XD,UI/UX & Product
Sketch,UI/UX & Product
InVision,UI/UX & Product
Framer,UI/UX & Product
Axure RP,UI/UX & Product
Balsamiq,UI/UX & Product
Miro,UI/UX & Product
FigJam,UI/UX & Product
Whimsical,UI/UX & Product
Wireframing,UI/UX & Product
Prototyping,UI/UX & Product
Interactive Prototyping,UI/UX & Product
User Interface Design,UI/UX & Product
User Experience Design,UI/UX & Product
UX Research,UI/UX & Product
User Research,UI/UX & Product
Usability Testing,UI/UX & Product
Accessibility,UI/UX & Product
WCAG,UI/UX & Product
Information Architecture,UI/UX & Product
Interaction Design,UI/UX & Product
Visual Design,UI/UX & Product
Design Systems,UI/UX & Product
Design Thinking,UI/UX & Product
Customer Journey Mapping,UI/UX & Product
User Personas,UI/UX & Product
User Flows,UI/UX & Product
Journey Mapping,UI/UX & Product
A/B Testing,UI/UX & Product
Product Management,UI/UX & Product
Product Strategy,UI/UX & Product
Product Roadmapping,UI/UX & Product
Product Discovery,UI/UX & Product
Product Analytics,UI/UX & Product
Product Lifecycle Management,UI/UX & Product
Product Backlog,UI/UX & Product
Requirements Gathering,UI/UX & Product
Business Analysis,UI/UX & Product
Stakeholder Management,UI/UX & Product
Market Research,UI/UX & Product
Competitive Analysis,UI/UX & Product
Agile Product Management,UI/UX & Product
Scrum,UI/UX & Product
Kanban,UI/UX & Product
Jira,UI/UX & Product
Confluence,UI/UX & Product
Azure Boards,UI/UX & Product
Trello,UI/UX & Product
Asana,UI/UX & Product
Monday.com,UI/UX & Product
Notion,UI/UX & Product
ClickUp,UI/UX & Product
Mixpanel,UI/UX & Product
Amplitude,UI/UX & Product
Google Analytics,UI/UX & Product
Hotjar,UI/UX & Product
FullStory,UI/UX & Product
User Story Mapping,UI/UX & Product
Feature Prioritization,UI/UX & Product
